绝对定向结果:

点号,X,Y,Z
91,580982.126482487,339188.160546463,37.8912313666105
2008,581071.623987628,339931.346018418,42.4554474087701
2113,580886.686572143,338726.876083715,37.5973820392551
92,581772.814712463,339191.898275005,36.4586104573681
2010,581763.51960508,339829.006127988,44.5331479896295
2117,581797.55878041,338660.549286408,33.7872450470929
2009,581409.953845279,339209.562932586,40.7025837661426
2115,581467.321196986,338922.900280349,32.9490742323567
2114,580935.643241097,338595.492948174,82.9315245544948
