后方交会、前方交会法算得地面点坐标为:

点号,X,Y,Z
91,580978.092605682,339191.413742527,38.7974209328704
2008,581067.279657016,339929.136181725,56.9473690141597
2113,580881.56460235,338725.707551072,29.8977684203578
92,581768.358620341,339194.918807665,32.1033741583767
2010,581752.886059932,339826.325038985,52.6448798445222
2117,581798.622954326,338660.18800676,18.5697594250462
2009,581405.870337632,339212.601630754,40.574019372877
2115,581464.742305478,338925.112567966,26.7911613657473
2114,580931.487366834,338592.526721189,73.7420146234183
